incident_month,incident_year,victim_injury,state,location,site_category,shark_common_name,shark_identification_method,shark_length_m,basis_for_length,provoked_unprovoked,no_sharks,victim_activity,commercial_dive_activity,object_of_bite,present_at_time_of_bite,direction_first_strike,shark_behaviour,victim_aware_of_shark,shark_captured,injury_location,injury_severity,victim_gender,victim_age,dominant_clothing_colour,fin_colour,diversionary_action_taken,diversionary_action_outcome,people_lt_3m,people_3-15m,time_of_incident,depth_of_incident_m,teeth_recovered,time_in_water_min,water_temperature_°c,total_water_depth_m,water_visability_m,distance_to_shore_m,tidal_cycle,wind_condition,weather_condition,air_temperature_°c,personal_protective_device
1,1791,fatal,nsw,sydney (near),coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,unknown,unknown,unknown,unknown,unknown,torso,major lacerations,female,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,0.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
3,1803,injured,wa,"shark bay, faure island",coastal,tiger shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,swam at victim,y,unknown,unknown,unknown,male,-1.0,unknown,unknown,pushed at shark,unknown,-1.0,-1.0,-1.0,0.0,unknown,1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1807,injured,nsw,"sydney harbour, cockle bay",estuary/harbour,bull shark,"bite analysis, shark behaviour",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on wrist,unknown,unknown,"arm, hand",minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1820,fatal,tas,"sweetwater point, pitt water",estuary/harbour,unknown,unknown,-1.0,unknown,provoked,1.0,swimming,unknown,unknown,catch,unknown,bit victim on leg,n,unknown,leg,major lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,100.0,unknown,unknown,unknown,-1.0,unknown
1,1825,injured,nsw,"sydney harbour, kirribili point",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit legs,unknown,unknown,leg,minor lacerations,male,15.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1830,injured,tas,bruny island,island open ocean,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on arms,unknown,unknown,arm,major lacerations,female,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1832,injured,nsw,"sydney harbour, blackwattle bay",estuary/harbour,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,-1.0,swimming,unknown,unknown,abbatoir,unknown,bit victim on leg,unknown,unknown,leg,minor lacerations,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
6,1832,injured,nsw,"sydney harbour, south head",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,provoked,1.0,fishing,unknown,unknown,unknown,unknown,bit victim on leg,unknown,unknown,leg,major lacerations,female,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1836,injured,sa,"adelaide, holdfast bay",coastal,white shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,-1.0,swimming,unknown,unknown,unknown,unknown,unknown,n,unknown,unknown,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
8,1836,fatal,qld,fraser island to inskip point,coastal,whaler shark,geohraphical location,-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on body,unknown,unknown,other: body not recovered,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
8,1836,fatal,qld,fraser island to inskip point,coastal,whaler shark,geohraphical location,-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on body,unknown,unknown,other: body not recovered,unknown,male,-1.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,-1.0,unknown,-1.0,-1.0,-1.0,-1.0,-1.0,unknown,unknown,unknown,-1.0,unknown
1,1837,fatal,nsw,macleay river,river,bull shark,"bite analysis, shark behaviour, geographical location",-1.0,unknown,unprovoked,1.0,swimming,unknown,unknown,unknown,unknown,bit victim on leg,unknown,unknown,leg,major lacerations,male,12.0,unknown,unknown,unknown,unknown,-1.0,-1.0,-1.0,1.0,unknown,-1.0,-1.0,-1.0,-1.0,1.0,unknown,unknown,unknown,-1.0,unknown
